 symbol callEst putEst combEst 11-20Price 12-15Price Direction
0 AAPL 174.481 164.609 170.55 169.98 173.97 up
1 AMBA 56.896 53.013 54.148 56.27 56.51 up
2 AMCN 3.472 2.101 3.437 2.11 1.79 dw
3 AMD 12.348 11.14 12.04 11.34 10.29 dw
4 ATHM 62.727 51.464 53.039 60.35 61.23 mid
5 ATVI 64.916 60.106 64.086 63.93 66.73 up
6 BABA 190.445 181.297 186.905 188.0 173.55 dw
7 BIDU 245.364 226.835 237.902 238.54 233.48 mid
8 CTRP 48.609 46.845 48.261 47.39 44.01 dw
9 FB 181.409 172.965 177.995 178.74 180.18 up
10 FIT 6.53 5.906 6.214 6.37 6.3 mid
11 GME 18.044 16.182 16.363 16.44 18.34 up
12 GOOG 1047.895 998.842 1027.394 1018.38 1064.19 up
13 GPRO 9.114 8.915 9.05 8.39 8.04 dw
14 GRMN 61.735 58.032 61.617 61.52 58.36 dw
15 GRPN 5.6 4.839 5.442 5.51 5.28 mid
16 INTL 44.646 39.955 40.014 42.82 41.89 mid
17 JD 41.002 38.282 40.411 39.2 40.32 mid
18 LC 4.914 4.084 4.577 4.26 4.03 dw
19 LSCC 7.288 5.573 7.059 6.19 5.86 mid
20 MOMO 33.396 30.809 32.933 32.94 25.08 dw
21 MRVL 21.133 20.221 20.794 21.59 21.62 up
22 MSFT 83.91 80.707 82.105 82.53 86.85 up
23 NFLX 199.241 185.786 192.533 194.1 190.12 mid
24 NKE 58.265 53.653 55.799 59.25 64.79 up
25 NQ 4.049 3.765 4.046 4.16 3.74 dw
26 NTES 354.257 324.439 339.687 344.07 355.79 up
27 NVDA 216.696 205.395 211.268 214.08 191.56 dw
28 PSTG 18.421 14.929 16.522 17.55 16.72 mid
29 PYPL 76.974 71.834 75.02 76.01 75.65 mid
30 QCOM 67.015 64.935 66.211 66.47 64.76 dw
31 QD 24.828 20.173 23.629 20.08 12.93 dw
32 QIWI 18.308 15.238 16.861 16.03 14.26 dw
33 RACE 114.673 108.49 109.377 110.18 104.38 dw
34 RENN 10.737 9.413 10.388 9.71 10.46 mid
35 SFUN 4.902 4.65 4.866 4.74 4.37 dw
36 SINA 125.767 92.031 112.452 109.14 100.9 mid
37 SNAP 12.97 12.234 12.575 12.41 15.75 up
38 SQ 45.658 42.855 45.0 45.21 37.03 dw
39 TSLA 324.348 298.334 313.815 308.74 343.45 up
40 TWTR 21.77 20.088 21.357 21.13 22.23 up
41 VIPS 9.572 8.677 9.312 9.25 8.44 dw
42 VRX 15.673 13.415 15.068 15.57 19.71 up
43 WB 118.327 107.048 113.977 120.43 102.72 dw
44 XLNX 74.4 66.048 72.701 72.64 67.98 mid
45 YELP 49.062 45.509 47.209 47.18 42.43 dw
46 ZTO 18.1 15.902 17.935 17.0 14.95 dw
